camara,Entidad,orden,distrito,partido,nombre,tipo,idDirectorio,Género
diputados,IV Circunscripción,13,,MORENA,Reyes Miguel Idalia,circunscripcion,390,Mujer
diputados,Estado De México,18,Huixquilucan De Degollado,PRD,Reyes Montiel Claudia,distrito,391,Mujer
diputados,Chihuahua,6,Chihuahua,PAN,Riggs Baeza Miguel Alonso,distrito,392,Varón
diputados,IV Circunscripción,26,,SG,Riojas Martínez Ana Lucia,circunscripcion,393,Mujer
diputados,Veracruz,20,Cosoleacaque,MORENA,Ríos Fararoni Eulalio Juan,distrito,394,Varón
diputados,Hidalgo,1,Huejutla De Reyes,MORENA,Rivera Castillo Fortunato,distrito,395,Varón
diputados,San Luis Potosí,7,Tamazunchale,PAN,Rivera Hernández Marcelino,distrito,396,Varón
diputados,Estado De México,36,Tejupilco De Hidalgo,PRI,Roa Sánchez Cruz Juvenal,distrito,397,Varón
diputados,Nuevo León,11,Guadalupe,PAN,Robledo Leal Ernesto Alfonso,distrito,398,Varón
diputados,Chiapas,13,Huehuetán,PT,Roblero Gordillo Maricruz,distrito,399,Varón
diputados,Querétaro,3,Santiago De Querétaro,MORENA,Robles Gutiérrez Beatriz Silvia,distrito,400,Mujer
diputados,Oaxaca,8,Oaxaca De Juárez,PT,Robles Montoya Ángel Benjamín,distrito,401,Varón
diputados,Estado De México,29,Cd. Nezahualcóyotl,MORENA,Robles Ortiz Martha,distrito,402,Mujer
diputados,Querétaro,1,Cadereyta De Montes,PAN,Rocha Acosta Sonia,distrito,403,Mujer
diputados,San Luis Potosí,1,Matehuala,PRI,Rocha Medina Ma. Sara,distrito,404,Mujer
diputados,I Circunscripción,19,,MORENA,Rocha Vega Efraín,circunscripcion,405,Varón
diputados,III Circunscripción,17,,MORENA,Rodríguez Arellano Ediltrudis,circunscripcion,406,Mujer
diputados,Jalisco,4,Zapopan,MC,Rodríguez Carrillo Mario Alberto,distrito,407,Varón
diputados,Chihuahua,7,Cuauhtémoc,MORENA,Rodríguez Gómez Eraclio,distrito,408,Varón
diputados,Tabasco,4,Villahermosa,MORENA,Rodríguez González Manuel,distrito,409,Varón
diputados,II Circunscripción,31,,PRI,Rodríguez Mier y Terán Mariana,circunscripcion,410,Mujer
diputados,V Circunscripción,21,,PAN,Rodríguez Rivera Iván Arturo,circunscripcion,411,Varón
diputados,Ciudad De México,18,Iztapalapa,MORENA,Rodríguez Ruiz Ana María,distrito,412,Mujer
diputados,Guanajuato,1,San Luis De La Paz,MC,Rodríguez Vázquez Ariel,distrito,413,Varón
diputados,III Circunscripción,29,,PRD,Rodríguez Zamora Norma Azucena,circunscripcion,414,Mujer
diputados,V Circunscripción,22,,PAN,Rojas Hernández Laura Angélica,circunscripcion,415,Mujer
diputados,Ciudad De México,7,Gustavo A. Madero,MORENA,Rojas Martínez Beatriz,distrito,416,Mujer
diputados,Ciudad De México,20,Iztapalapa,PT,Rojo Pimentel Ana Karina,distrito,417,Mujer
diputados,Estado De México,17,Ecatepec De Morelos,MORENA,Román Ávila María Guadalupe,distrito,418,Mujer
diputados,IV Circunscripción,21,,PAN,Romero Herrera Jorge,circunscripcion,419,Varón
diputados,Guanajuato,4,Guanajuato,PAN,Romero Hicks Juan Carlos,distrito,420,Varón
diputados,V Circunscripción,26,,PAN,Romero León Gloria,circunscripcion,421,Mujer
diputados,Jalisco,2,Lagos De Moreno,PAN,Romo Cuéllar Martha Estela,distrito,422,Mujer
diputados,Jalisco,3,Tepatitlán De Morelos,PAN,Romo Romo Guadalupe,distrito,423,Varón
diputados,Jalisco,1,Tequila,MC,Ron Ramos Eduardo,distrito,424,Varón
diputados,IV Circunscripción,31,,MORENA,Rosas Martínez Luz Estefanía,circunscripcion,425,Mujer
diputados,Tamaulipas,1,Nuevo Laredo,PAN,Rosas Quintanilla José Salvador,distrito,426,Varón
diputados,I Circunscripción,39,,MORENA,Rosas Uribe Erika Mariana,circunscripcion,427,Mujer
diputados,Ciudad De México,8,Cuauhtémoc,PES,Rosete Sánchez María de Jesús,distrito,428,Mujer
diputados,Chiapas,11,Las Margaritas,PVEM,Rubio Montejo Roberto Antonio,distrito,429,Varón
diputados,I Circunscripción,23,,PAN,Ruffo Appel Ernesto Guillermo,circunscripcion,430,Varón
diputados,V Circunscripción,14,,MORENA,Ruiz Lustre Hugo Rafael,circunscripcion,431,Varón
diputados,I Circunscripción,5,,MC,Russo Salido Jorge Eugenio,circunscripcion,432,Varón
diputados,San Luis Potosí,5,San Luis Potosí,PAN,Salazar Báez Josefina,distrito,433,Mujer
diputados,Coahuila,5,Torreón,MORENA,Salazar Fernández Luis Fernando,distrito,434,Varón
diputados,IV Circunscripción,32,,PRI,Saldaña Pérez María Lucero,circunscripcion,435,Mujer
diputados,Ciudad De México,17,Cuajimalpa De Morelos,PES,Saldivar Camacho Francisco Javier,distrito,436,Varón
diputados,V Circunscripción,29,,MORENA,Salinas Narváez Javier,circunscripcion,437,Varón
diputados,V Circunscripción,2,,MC,Salinas Reyes Ruth,circunscripcion,438,Mujer
diputados,Nuevo León,1,Santa Catarina,PAN,Salinas Wolberg Hernán,distrito,439,Varón
diputados,Puebla,10,Cholula De Rivadavia,PES,Salvatori Bojalil Nayeli,distrito,440,Mujer
diputados,Estado De México,15,Ciudad Adolfo López Mateos,MORENA,Sánchez Barrales Zavalza Raúl Ernesto,distrito,441,Varón
diputados,Guerrero,7,Chilpancingo,MORENA,Sánchez Barrios Carlos,distrito,442,Varón
diputados,Michoacán,6,Ciudad Hidalgo,MORENA,Sánchez Castro Anita,distrito,443,Mujer
diputados,II Circunscripción,7,,MORENA,Sánchez Galván Miroslava,circunscripcion,444,Mujer
diputados,I Circunscripción,32,,PRI,Sánchez Martínez Lourdes Erika,circunscripcion,445,Mujer
diputados,Estado De México,21,Amecameca De Juárez,MORENA,Sánchez Ortiz Graciela,distrito,446,Mujer
diputados,Estado De México,20,Cd. Nezahualcóyotl,MORENA,Sánchez Rodríguez Juan Pablo,distrito,447,Varón
diputados,V Circunscripción,38,,PT,Sandoval Flores Reginaldo,circunscripcion,448,Varón
diputados,V Circunscripción,24,,PAN,Sandoval Mendoza María Liduvina,circunscripcion,449,Mujer
diputados,I Circunscripción,16,,MORENA,Sandoval Soberanes Lucinda,circunscripcion,450,Mujer
diputados,Oaxaca,4,Tlacolula De Matamoros,MORENA,Santiago Chepi Azael,distrito,451,Varón
diputados,III Circunscripción,4,,MORENA,Santiago Manuel Iran,circunscripcion,452,Varón
diputados,Sinaloa,5,Culiacán De Rosales,MORENA,Santiago Marcos Nancy Yadira,distrito,453,Mujer
diputados,II Circunscripción,12,,MORENA,Santos Díaz Edelmiro Santiago,circunscripcion,454,Varón
diputados,III Circunscripción,32,,PRI,Sauri Riancho Dulce María,circunscripcion,455,Mujer
diputados,IV Circunscripción,28,,SG,Serrano Cortes Héctor,circunscripcion,456,Varón
diputados,III Circunscripción,12,,MORENA,Sibaja Mendoza Jorge Ángel,circunscripcion,457,Varón
diputados,IV Circunscripción,24,,PAN,Sobrado Rodríguez Verónica María,circunscripcion,458,Mujer
diputados,V Circunscripción,11,,MORENA,Solís Barrera María Marivel,circunscripcion,459,Mujer
diputados,Tamaulipas,8,Tampico,PES,Sosa Ruíz Olga Patricia,distrito,460,Mujer
diputados,Tlaxcala,1,Apizaco,PT,Sosa Salinas José de la Luz,distrito,461,Varón
diputados,IV Circunscripción,1,,MC,Tagle Martínez Martha Angélica,circunscripcion,462,Mujer
diputados,Quintana Roo,1,Playa Del Carmen,PES,Teissier Zavala Adriana Paulina,distrito,463,Mujer
diputados,Michoacán,4,Jiquilpan De Juárez,PAN,Tejeda Cid Armando,distrito,464,Varón
diputados,Hidalgo,7,Tepeapulco,MORENA,Tellez Infante Jannet,distrito,465,Mujer
diputados,Veracruz,8,Xalapa,MORENA,Tello Espinosa Claudia,distrito,466,Mujer
diputados,Veracruz,19,San Andrés Tuxtla,MORENA,Tenorio Adame Paola,distrito,467,Mujer
