id,apellido,nombre,partido,genero,Nacimiento,Comisiones,Posición
524,Montalvo Luna,José Luis,Partido del Trabajo,v,29/04/1960,Educación,Integrante
524,Montalvo Luna,José Luis,Partido del Trabajo,v,29/04/1960,Trabajo y Previsión Social,Integrante
585,Hidalgo Ponce,Javier Ariel,Movimiento Regeneración Nacional,v,14/05/1960,Puntos Constitucionales,Integrante
585,Hidalgo Ponce,Javier Ariel,Movimiento Regeneración Nacional,v,14/05/1960,Salud,Integrante
65,Santos Díaz,Edelmiro Santiago,Movimiento Regeneración Nacional,v,02/07/1960,"Economía, Comercio y Competitividad",Integrante
65,Santos Díaz,Edelmiro Santiago,Movimiento Regeneración Nacional,v,02/07/1960,Salud,Integrante
323,De las Fuentes Hernández,Fernando Donato,Partido Revolucionario Institucional,v,07/08/1960,Vigilancia de la Auditoría Superior de la Federación,Integrante
513,Medel Palma,Carmen,Movimiento Regeneración Nacional,f,26/09/1960,Ganadería,Integrante
513,Medel Palma,Carmen,Movimiento Regeneración Nacional,f,26/09/1960,Seguridad Social,Integrante
395,Ambrocio Gachuz,José Guadalupe,Movimiento Regeneración Nacional,v,12/12/1960,Presupuesto y Cuenta Pública,Integrante
395,Ambrocio Gachuz,José Guadalupe,Movimiento Regeneración Nacional,v,12/12/1960,"Régimen, Reglamentos y Prácticas Parlamentarias",Integrante
329,Chico Herrera,Miguel Ángel,Movimiento Regeneración Nacional,v,17/03/1961,Defensa Nacional,Integrante
329,Chico Herrera,Miguel Ángel,Movimiento Regeneración Nacional,v,17/03/1961,Gobernación y Población,Integrante
329,Chico Herrera,Miguel Ángel,Movimiento Regeneración Nacional,v,17/03/1961,Trabajo y Previsión Social,Integrante
517,Nemer Álvarez,Ernesto Javier,Partido Revolucionario Institucional,v,17/07/1961,"Economía, Comercio y Competitividad",Integrante
517,Nemer Álvarez,Ernesto Javier,Partido Revolucionario Institucional,v,17/07/1961,Infraestructura,Integrante
409,Acundo González,Miguel,Partido Encuentro Social,v,29/09/1961,"Desarrollo y Conservación Rural, Agrícola y Autosuficiencia Alimentaria",Integrante
409,Acundo González,Miguel,Partido Encuentro Social,v,29/09/1961,Pueblos Indígenas,Integrante
46,Torres Peimbert,María Marcela,Partido Acción Nacional,f,07/10/1961,"Medio Ambiente, Sustentabilidad, Cambio Climático y Recursos Naturales",Integrante
405,Almaguer Pardo,María Guadalupe,Partido de la Revolución Democrática,f,26/10/1961,Gobernación y Población,Integrante
405,Almaguer Pardo,María Guadalupe,Partido de la Revolución Democrática,f,26/10/1961,Seguridad Pública,Integrante
358,Flores Sánchez,Margarita,Partido Revolucionario Institucional,f,10/12/1961,Cultura y Cinematografía,Integrante
358,Flores Sánchez,Margarita,Partido Revolucionario Institucional,f,10/12/1961,Deporte,Integrante
610,Guzmán Avilés,Jesús,Partido Acción Nacional,v,25/12/1961,Ganadería,Integrante
610,Guzmán Avilés,Jesús,Partido Acción Nacional,v,25/12/1961,"Recursos Hidráulicos, Agua Potable y Saneamiento",Integrante
482,Mata Carrasco,Mario,Partido Acción Nacional,v,20/03/1962,Ganadería,Integrante
482,Mata Carrasco,Mario,Partido Acción Nacional,v,20/03/1962,"Recursos Hidráulicos, Agua Potable y Saneamiento",Integrante
457,Baldenebro Arredondo,Manuel de Jesús,Partido Encuentro Social,v,13/05/1962,Salud,Integrante
457,Baldenebro Arredondo,Manuel de Jesús,Partido Encuentro Social,v,13/05/1962,Seguridad Social,Integrante
561,Garza Galván,Silvia Guadalupe,Partido Acción Nacional,f,05/07/1962,"Medio Ambiente, Sustentabilidad, Cambio Climático y Recursos Naturales",Integrante
561,Garza Galván,Silvia Guadalupe,Partido Acción Nacional,f,05/07/1962,Trabajo y Previsión Social,Integrante
